"X1","X2","X3","X4","X5","X6","search","lon","lat","address"
"Alanbrooke Barracks","","England","North Yorkshire","1972[a]","4th Regiment Royal Artillery[41]","Alanbrooke Barracks, North Yorkshire",-1.401414,54.2033231,"alanbrooke barracks, thirsk yo7, uk"
"Albemarle Barracks","","England","Northumberland","1970[b]","3rd Regiment Royal Horse Artillery[42]","Albemarle Barracks, Northumberland",-1.8715028,55.0156177,"newcastle upon tyne ne15 0rg, uk"
"Alexander Barracks","","England","Surrey","1875","Army Training Centre Pirbright[43]","Alexander Barracks, Surrey",NA,NA,NA
"Aliwal Barracks","Tidworth Camp","England","Wiltshire","","Royal Tank Regiment[44]King's Royal Hussars[44]","Aliwal Barracks, Wiltshire",-1.6827049,51.2286534,"aliwal house, the mall, tidworth sp9 7az, uk"
"Allenby Barracks","","England","Dorset","1899","Regimental Headquarters Royal Wessex Yeomanry[45]Royal Armoured Corps Training Regiment[46]","Allenby Barracks, Dorset",-2.2409021,50.7017186,"allenby barracks, bovington, wareham bh20 6ja, uk"
"Alma Lines","Catterick","England","North Yorkshire","","1st Battalion, The Yorkshire Regiment[47]","Alma Lines, North Yorkshire",-2.277655,54.068246,"settle bd24, uk"
"Assaye Barracks","Tidworth","England","Wiltshire","","Queen's Royal Hussars[44] 4th Armoured Medical Regiment, Royal Army Medical Corps[48]3rd Armoured Close Support Battalion, Royal Electrical and Mechanical Engineers[49]","Assaye Barracks, Wiltshire",-1.6835867,51.2316411,"assaye barracks, tidworth sp9 7ba, uk"
"Azimghur Barracks","","England","Wiltshire","1976[c]","21 Signal Regiment[50]","Azimghur Barracks, Wiltshire",-1.9922127,51.2462714,"wiltshire, uk"
"Baker Barracks","","England","West Sussex","1984[d]","12th Regiment Royal Artillery[51]16th Regiment Royal Artillery[52]Ground Based Air Defence Wing[53]","Baker Barracks, West Sussex",-0.9281517,50.8209162,"baker barracks, emsworth po10 8dh, uk"
"Beachley Barracks","","England","Gloucestershire","1915","1st Battalion, The Rifles[54]","Beachley Barracks, Gloucestershire",-2.2380335,51.8642112,"gloucestershire, uk"
"Battlesbury Barracks","","England","Wiltshire","1938","Headquarters, Strike Experimentation Group[55]Royal Dragoon Guards[56]Joint Asset Management and Engineering Solutions (JAMES) Delivery Team[57]","Battlesbury Barracks, Wiltshire",-1.9922127,51.2462714,"wiltshire, uk"
"Beacon Barracks","","England","Staffordshire","2006[e]","16 Signal Regiment[58]22 Signal Regiment[59]1 Signal Regiment[58] Defence Electronics and Components Agency Stafford[58]","Beacon Barracks, Staffordshire",-2.12066,52.806693,"stafford, uk"
