Result Number,Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
1,LC08_L2SP_207021_20130403_20200912_02_T1,LC08_L1TP_207021_20130403_20200912_02_T1,LC82070212013093LGN02,2013/04/03,T1,2, 207, 021, 207, 021,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-03 11:27:45.373807,2013-04-03 11:28:15.169827,LGN,DAY,  12.39,   7.13,768,5,    6.782,    4.879,    4.711,LPGS_15.3.1c,38.14783431,160.80316099,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,55°54'40.46"N,6°15'23.44"W,56°56'43.15"N,8°03'05.58"W,56°51'40.64"N,4°19'19.63"W,54°55'16.54"N,8°05'59.06"W,54°50'36.02"N,4°33'32.04"W, 55.91124,  -6.25651, 56.94532,  -8.05155, 56.86129,  -4.32212, 54.92126,  -8.09974, 54.84334,  -4.55890,LC08_L2SP_207021_20130403_20200912_02_T1,LC82070212013093LGN02
2,LC08_L2SP_207022_20130403_20200912_02_T1,LC08_L1TP_207022_20130403_20200912_02_T1,LC82070222013093LGN02,2013/04/03,T1,2, 207, 022, 207, 022,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-03 11:28:09.158944,2013-04-03 11:28:38.954965,LGN,DAY,  10.26,   8.72,788,5,    6.814,    5.203,    4.400,LPGS_15.3.1c,39.34551352,159.62733663,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,54°30'29.99"N,6°59'24.90"W,55°32'00.85"N,8°44'30.30"W,55°28'22.62"N,5°08'20.54"W,53°30'21.96"N,8°45'15.23"W,53°26'59.32"N,5°19'30.61"W, 54.50833,  -6.99025, 55.53357,  -8.74175, 55.47295,  -5.13904, 53.50610,  -8.75423, 53.44981,  -5.32517,LC08_L2SP_207022_20130403_20200912_02_T1,LC82070222013093LGN02
3,LC08_L2SP_207023_20130403_20200913_02_T1,LC08_L1TP_207023_20130403_20200913_02_T1,LC82070232013093LGN02,2013/04/03,T1,2, 207, 023, 207, 023,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-03 11:28:32.935609,2013-04-03 11:29:02.73163,LGN,DAY,   4.74,   4.65,799,5,    6.099,    4.484,    4.133,LPGS_15.3.1c,40.53341379,158.45453395,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,53°06'08.78"N,7°40'54.16"W,54°07'13.80"N,9°23'35.56"W,54°04'52.97"N,5°54'26.21"W,52°05'13.81"N,9°22'30.32"W,52°03'02.95"N,6°02'58.31"W, 53.10244,  -7.68171, 54.12050,  -9.39321, 54.08138,  -5.90728, 52.08717,  -9.37509, 52.05082,  -6.04953,LC08_L2SP_207023_20130403_20200913_02_T1,LC82070232013093LGN02
4,LC08_L2SP_204026_20130410_20200912_02_T2,LC08_L1GT_204026_20130410_20200912_02_T2,LC82040262013100LGN02,2013/04/10,T2,2, 204, 026, 204, 026,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-10 11:10:32.789258,2013-04-10 11:11:02.585279,LGN,DAY,  11.69,   7.44,-1,5,    0.000,    0.000,    0.000,LPGS_15.3.1c,46.70814740,154.57302439,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,48°51'59.11"N,4°41'13.20"W,49°51'24.66"N,6°21'01.33"W,49°54'18.90"N,3°05'40.92"W,47°47'54.17"N,6°12'56.63"W,47°50'36.28"N,3°05'27.17"W, 48.86642,  -4.68700, 49.85685,  -6.35037, 49.90525,  -3.09470, 47.79838,  -6.21573, 47.84341,  -3.09088,LC08_L2SP_204026_20130410_20200912_02_T2,LC82040262013100LGN02
5,LC08_L2SP_203021_20130426_20200913_02_T1,LC08_L1TP_203021_20130426_20200913_02_T1,LC82030212013116LGN02,2013/04/26,T1,2, 203, 021, 203, 021,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-26 11:05:03.502323,2013-04-26 11:05:33.298343,LGN,DAY,  71.37,  13.29,63,5,    9.085,    6.509,    6.337,LPGS_15.3.1c,46.43975766,160.58911875,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,55°54'39.71"N,0°31'15.35"W,56°56'30.95"N,2°22'01.96"W,56°51'51.70"N,1°26'48.12"E,54°54'54.07"N,2°23'57.88"W,54°50'35.16"N,1°13'16.64"E, 55.91103,  -0.52093, 56.94193,  -2.36721, 56.86436,   1.44670, 54.91502,  -2.39941, 54.84310,   1.22129,LC08_L2SP_203021_20130426_20200913_02_T1,LC82030212013116LGN02
6,LC08_L2SP_203025_20130426_20200913_02_T1,LC08_L1TP_203025_20130426_20200913_02_T1,LC82030252013116LGN02,2013/04/26,T1,2, 203, 025, 203, 025,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-26 11:06:39.036819,2013-04-26 11:07:08.832839,LGN,DAY,  33.10,  16.51,202,5,    7.863,    5.786,    5.324,LPGS_15.3.1c,51.12970191,154.85054616,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'52.18"N,3°13'00.08"W,51°16'55.24"N,4°53'59.64"W,51°17'18.35"N,1°32'55.43"W,49°14'26.23"N,4°49'13.30"W,49°14'47.76"N,1°36'34.20"W, 50.28116,  -3.21669, 51.28201,  -4.89990, 51.28843,  -1.54873, 49.24062,  -4.82036, 49.24660,  -1.60950,LC08_L2SP_203025_20130426_20200913_02_T1,LC82030252013116LGN02
7,LC08_L2SP_204026_20130503_20200912_02_T1,LC08_L1TP_204026_20130503_20200912_02_T1,LC82040262013123LGN02,2013/05/03,T1,2, 204, 026, 204, 026,NADIR,   0.000,2020/09/12,2020/09/12,2013-05-03 11:13:17.05106,2013-05-03 11:13:46.84708,LGN,DAY,   4.19,   8.24,196,5,    7.775,    5.834,    5.140,LPGS_15.3.1c,54.37715381,152.58135860,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,48°51'59.36"N,5°21'39.06"W,49°51'01.80"N,7°03'19.55"W,49°55'08.18"N,3°46'03.18"W,47°46'58.19"N,6°53'30.23"W,47°50'47.33"N,3°44'11.29"W, 48.86649,  -5.36085, 49.85050,  -7.05543, 49.91894,  -3.76755, 47.78283,  -6.89173, 47.84648,  -3.73647,LC08_L2SP_204026_20130503_20200912_02_T1,LC82040262013123LGN02
8,LC08_L2SP_206021_20130517_20200912_02_T1,LC08_L1TP_206021_20130517_20200912_02_T1,LC82060212013137LGN02,2013/05/17,T1,2, 206, 021, 206, 021,NADIR,   0.000,2020/09/12,2020/09/12,2013-05-17 11:23:50.876628,2013-05-17 11:24:20.672648,LGN,DAY,  30.09,  19.53,738,5,    6.198,    4.069,    4.675,LPGS_15.3.1c,52.16763059,159.32187227,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,55°54'39.24"N,5°12'24.88"W,56°54'23.11"N,7°14'46.36"W,56°58'41.63"N,3°17'22.38"W,54°48'24.05"N,7°01'22.26"W,54°52'23.02"N,3°16'27.37"W, 55.91090,  -5.20691, 56.90642,  -7.24621, 56.97823,  -3.28955, 54.80668,  -7.02285, 54.87306,  -3.27427,LC08_L2SP_206021_20130517_20200912_02_T1,LC82060212013137LGN02
9,LC08_L2SP_206022_20130517_20200912_02_T1,LC08_L1TP_206022_20130517_20200912_02_T1,LC82060222013137LGN02,2013/05/17,T1,2, 206, 022, 206, 022,NADIR,   0.000,2020/09/12,2020/09/12,2013-05-17 11:24:14.754957,2013-05-17 11:24:44.550977,LGN,DAY,  29.15,  19.80,301,5,    6.774,    4.537,    5.030,LPGS_15.3.1c,53.34016338,157.68482492,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,54°30'31.50"N,5°56'19.97"W,55°29'49.06"N,7°55'12.79"W,55°35'27.06"N,4°06'27.07"W,53°23'35.70"N,7°40'25.50"W,53°28'48.54"N,4°03'06.48"W, 54.50875,  -5.93888, 55.49696,  -7.92022, 55.59085,  -4.10752, 53.39325,  -7.67375, 53.48015,  -4.05180,LC08_L2SP_206022_20130517_20200912_02_T1,LC82060222013137LGN02
10,LC08_L2SP_209018_20130522_20200913_02_T2,LC08_L1GT_209018_20130522_20200913_02_T2,LC82090182013142LGN02,2013/05/22,T2,2, 209, 018, 209, 018,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-22 11:41:14.108827,2013-05-22 11:41:43.904847,LGN,DAY,  -1.00,  14.76,-1,5,,,,LPGS_15.3.1c,49.58832399,163.79648492,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,60°05'37.39"N,7°20'28.86"W,61°08'05.21"N,9°29'38.08"W,61°04'44.51"N,5°05'14.82"W,59°03'48.10"N,9°27'49.86"W,59°00'43.45"N,5°19'29.71"W, 60.09372,  -7.34135, 61.13478,  -9.49391, 61.07903,  -5.08745, 59.06336,  -9.46385, 59.01207,  -5.32492,LC08_L2SP_209018_20130522_20200913_02_T2,LC82090182013142LGN02
