"category","base","lon","lat","address"
"Naval bases","HMS Drake (HMNB Devonport, Devonport, Devon)",-4.1895273,50.3869343,"hmnb devonport, plymouth pl2 2bg, uk"
"Naval bases","HMS Nelson (HMNB Portsmouth, Portsmouth)",-1.0969223,50.8001137,"6 queen st, portsmouth po1 3hl, uk"
"Naval bases","HMS Neptune (HMNB Clyde, Faslane, Dunbartonshire)",-4.8145682,56.0673769,"faslane, helensburgh g84 0eh, uk"
"Air stations","HMS Seahawk (RNAS Culdrose, Cornwall)",-5.0527125,50.2660471,"cornwall, uk"
"Air stations","RNAS Predannack",-5.2308329,50.001167,"predannack airfield, helston tr12, uk"
"Air stations","HMS Heron (RNAS Yeovilton, Somerset)",-2.6473909,51.0125192,"rnas, heathcote rd, yeovil ba22 8ht, uk"
"Air stations","RNAS Merryfield",-2.933007,50.9614432,"ilton, ilminster ta19 9hn, uk"
"Air stations","HMS Gannet, South Ayrshire",-4.5829082,55.5149131,"hms gannet, airport, prestwick ka9 2pl, uk"
"Training establishments","HMS Collingwood (Fareham, Hampshire)",-1.1881194,50.8342705,"newgate ln, fareham, hampshire po14 1as, uk"
"Training establishments","HMS Dartmouth (Britannia Royal Naval College, Dartmouth, Devon)",-3.583057,50.3575019,"britannia royal naval college, manxman div st vincent sqdn, brnc, dartmouth tq6 0hj, uk"
"Training establishments","HMS Excellent (Whale Island, Portsmouth)",-1.0964328,50.8175726,"wardroom rd, portsmouth po2 8er, uk"
"Training establishments","HMS Raleigh (Torpoint, Cornwall)",-4.2226385,50.3736286,"trevol rd, torpoint pl11 2pd, uk"
"Training establishments","HMS Sultan (Gosport, Hampshire)",-1.1603418,50.8024802,"military rd, gosport po12 3by, uk"
"Training establishments","HMS Temeraire (Directorate of Naval Physical Training and Sport (DNPTS), Portsmouth)",NA,NA,NA
"Other","HMS Caledonia, Rosyth Dockyard, Rosyth, Fife",-3.443667,56.0313709,"rosyth, dunfermline ky11 2bg, uk"
"Other","HMS Saker, Administrative aggregation of Royal Navy personnel based in the United States",-95.712891,37.09024,"united states"
"Other","Institute of Naval Medicine (Alverstoke, Hampshire) INM",-1.1408681,50.7806358,"crescent rd, gosport po12 2dl, uk"
