"X1","X2","X3","X4","addr","lon","lat","address"
"MOD Aberporth","Wales","Ceredigion","Former RAE Aberporth, operated by QinetiQ on behalf of the MOD as a test & evaluation range.[1]","MOD Aberporth, Ceredigion, Wales",-4.5615298,52.1350408,"mod aberporth, cardigan sa43 2bu, uk"
"JHC FS Aldergrove","Northern Ireland","County Antrim","Formerly RAF Aldergrove, the station is now a British Army facility.[2] The RAF maintains a presence with the Northern Ireland Universities Air Squadron and No. 13 Air Experience Flight operating the Grob Tutor T1 and No. 502 (Ulster) Squadron (Royal Auxiliary Air Force).[3]","JHC FS Aldergrove, County Antrim, Northern Ireland",-6.2032293,54.654834,"aldergrove base, aldergrove, crumlin bt29 4bp, uk"
"RAF Barkston Heath","England","Lincolnshire","Defence Elementary Flying Training School, comprising 703 Naval Air Squadron, part of the UK Military Flying Training System, which operates the Grob Prefect T1 in the elementary flying training role.[4] Also operates as a Relief landing ground, predominately used by Prefect T1's of No. 3 Flying Training School from RAF Cranwell.[4]","RAF Barkston Heath, Lincolnshire, England",-0.5487126,52.9631098,"barkston, grantham ng32 3fh, uk"
"RAF Barnham","England","Suffolk","Non-flying satellite site of RAF Honington providing domestic accommodation and training facilities for the RAF Regiment.[5] Expected to close and be disposed of by 2027.[6]","RAF Barnham, Suffolk, England",0.735525,52.3882713,"barnham, thetford ip24 2dj, uk"
"RRH Benbecula","Scotland","Comhairle nan Eilean Siar","Remote Radar Head (formerly RAF Benbecula) forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[7]","RRH Benbecula, Comhairle nan Eilean Siar, Scotland",-7.4466705,57.6176695,"isle of north uist hs6 5df, uk"
"RAF Benson","England","Oxfordshire","Puma Support Helicopter Force fleet operating under Joint Helicopter Command, comprising No. 33 Squadron and No. 230 Squadron operating the Westland Puma HC2 and No. 28 (AC) Squadron operating the Puma and Boeing Chinook HC6A.[8]","RAF Benson, Oxfordshire, England",-1.0880226,51.6130287,"benson, ewelme, wallingford ox10 6aa, uk"
"MOD Boscombe Down","England","Wiltshire","Test & evaluation airfield operated by QinetiQ on behalf of the MOD. Home to the Air Test and Evaluation Centre, Empire Test Pilots School, Rotary Wing Test and Evaluation Squadron and the Joint Aircraft Recovery and Transportation Squadron.[9][10]","MOD Boscombe Down, Wiltshire, England",-1.7468691,51.1633868,"mod boscombe down, amesbury, salisbury sp4 0jf, uk"
"RAF Boulmer","England","Northumberland","Non-flying station, home to the RAF Battlespace Management Force, UK Air Surveillance and Control System (UKASCS) and a NATO Control and Reporting Centre responsible for monitoring UK airspace.[11]","RAF Boulmer, Northumberland, England",-1.6030993,55.4219017,"boulmer, alnwick ne66 3jf, uk"
"RAF Brize Norton","England","Oxfordshire","The RAF's largest station, home to the strategic and tactical air-transport and air-to-air refuelling fleets (Boeing C-17A Globemaster, Lockheed Martin C-130 Hercules C4/5, Airbus Voyager KC2/KC3 and the Airbus A400M Atlas).[12]","RAF Brize Norton, Oxfordshire, England",-1.5841717,51.7611986,"carterton ox18 3lx, uk"
"RRH Brizlee Wood","England","Northumberland","Remote Radar Head (formerly RAF Brizlee Wood) forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[7]","RRH Brizlee Wood, Northumberland, England",-1.76899,55.4181709,"alnwick ne66 2au, uk"
"RRH Buchan","Scotland","Aberdeenshire","Remote Radar Head (formerly known as RAF Buchan) forming part of the UK Air Surveillance and Control System managed from RAF Boulmer.[7]","RRH Buchan, Aberdeenshire, Scotland",-1.8131304,57.4577754,"a90, peterhead ab42 0nz, uk"
"Chetwynd Airfield","England","Shropshire","Former RAF station, now an unmanned grass airfield used for training purposes by helicopters of the No. 1 Flying Training School from RAF Shawbury.[13]","Chetwynd Airfield, Shropshire, England",-2.4085858,52.8015243,"chetwynd, uk"
"RAF Coningsby","England","Lincolnshire","Eurofighter Typhoon FGR4 main operating base with No. 3 Squadron and No. 11 Squadron both contributing to the Quick Reaction Alert (Interceptor) South capability. No. 29 Squadron is the Typhoon operational conversion unit and No. 41 Squadron operate the Typhoon for test and evaluation purposes.[14] The Battle of Britain Memorial Flight operate a fleet of historic aircraft in the flying display role.[14]","RAF Coningsby, Lincolnshire, England",-0.1701335,53.0991209,"baxter cl, coningsby, lincoln ln4 4tg, uk"
"RAF Cosford","England","Shropshire","Training establishment, home to the Defence School of Aeronautical Engineering (DSAE) Headquarters, No. 1 School of Technical Training, the RAF Aerosystems Engineer and Management Training School, No. 1 Radio School, Defence School of Photography and the RAF School of Physical Training. Flying units include the University of Birmingham Air Squadron, No. 8 Air Experience Flight. Also home to the RAF Museum Cosford.[15]","RAF Cosford, Shropshire, England",-2.3019755,52.6470092,"albrighton, wolverhampton wv7 3ex, uk"
"RAF Cranwell","England","Lincolnshire","Training establishment, home to RAF College Cranwell, the Officer and Aircrew Selection Centre and Air Cadets Headquarters. Flying units comprise the Central Flying School responsible for training flying instructors, the headquarters and flying squadrons of No. 3 Flying Training School (Embraer Phenom T1 and Grob Prefect T1) and No. 6 Flying Training School flying the Grob Tutor T1.[16]","RAF Cranwell, Lincolnshire, England",-0.4980406,53.0357587,"raf college, byards leap, cranwell, sleaford ng34 8hb, uk"
"RAF Digby","England","Lincolnshire","Non-flying station providing specialist communications support under command of Defence Intelligence. Station personnel are drawn from all three UK armed forces and the US military. Home to the Joint Services Signals Organisation Headquarters, Joint Signals Service Unit (Digby), No. 591 Signals Unit and the Aerial Erector School.[17]","RAF Digby, Lincolnshire, England",-0.4350915,53.0958884,"cuckoo ln, digby, lincoln ln4 3lh, uk"
"RAF Fylingdales","England","North Yorkshire","Non-flying station providing an uninterrupted ballistic missile early warning and space surveillance capability to the UK and US governments.[18]","RAF Fylingdales, North Yorkshire, England",-0.6686738,54.3583318,"unnamed road, pickering yo18 7nt, uk"
"RAF Halton","England","Buckinghamshire","Training establishment comprising the Recruit Training Squadron, Airmens Command Squadron, International Defence Training, Supply and Management Training Wing, Specialist Training Squadron and several other RAF and joint support units.[19] A grass airfield provides a base for several RAF flying clubs.[20] Expected to close and be disposed of by 2025.[6]","RAF Halton, Buckinghamshire, England",-0.7281562,51.776289,"royal air force, halton camp, aylesbury hp22 5pg, uk"
"MOD Hebrides","Scotland","Comhairle nan Eilean Siar","Formerly RAF Benbecula, operated by QinetiQ on behalf of the MOD as a test and evaluation range.[21]","MOD Hebrides, Comhairle nan Eilean Siar, Scotland",-6.3789026,58.209106,"council offices, sandwick rd, stornoway hs1 2bw, uk"
"RAF Henlow","England","Bedfordshire","Support station, home to several RAF and Strategic Command units including the RAF Centre of Aviation Medicine, the Joint Arms Control Implementation Group (JACIG), elements of Engineering Operations under Defence Digital, Defence Cultural Specialist Unit, the Band of the Queen's Division and specialist units of the RAF Police.[22] A grass airfield provides a base for two flying clubs. Expected to close and be disposed of by 2023.[6]","RAF Henlow, Bedfordshire, England",-0.3020721,52.008329,"henlow sg16 6dn, uk"
"RAF High Wycombe","England","Buckinghamshire","Non-flying administrative support station, home to Headquarters RAF Air Command, No. 1 Group, No. 2 Group, No. 11 Group and No. 22 Group.[23]","RAF High Wycombe, Buckinghamshire, England",-0.8021313,51.6816497,"naphill, high wycombe hp14 4ue, uk"
"RAF Honington","England","Suffolk","Support station, home to the vast majority of the RAF Regiment including the RAF Force Protection Headquarters and Force Protection Centre, and numerous RAF Regiment squadrons. Also hosts RAF Police Headquarters and No. 3 RAF Police Wing.[24]","RAF Honington, Suffolk, England",0.7775709,52.3373917,"raf honington, bury saint edmunds ip31, uk"
"Kenley Airfield","England","Surrey","Former RAF station, home to No. 615 Volunteer Gliding Squadron flying the Grob Viking T1.[25]","Kenley Airfield, Surrey, England",-0.5599501,51.3147593,"surrey, uk"
"Keevil Airfield","England","Wiltshire","Former RAF station, unmanned airfield used for training purposes predominately by aircraft from RAF Brize Norton.[26] Has also been used by the British Army for ground exercises and by Joint Helicopter Command.[27]","Keevil Airfield, Wiltshire, England",-2.1165934,51.3082381,"keevil airfield, spiers place, steeple ashton, trowbridge ba14 6hg, uk"
"Kirknewton Airfield","Scotland","Midlothian","Former RAF station, home to No. 661 Volunteer Gliding Squadron flying the Grob Viking T1.
","Kirknewton Airfield, Midlothian, Scotland",-3.4109571,55.8779109,"royal air force kirknewton, kirknewton, edinburgh, kirknewton eh27 8db, uk"
"RAF Leeming","England","North Yorkshire","Home to No. 100 Squadron operating the BAE Systems Hawk T1 in the mixed target facilities role and the Northumbrian Universities Air Squadron and No. 11 Air Experience Flight, both equipped with the Grob Tutor T1. Non flying units include No. 90 Signals Unit, No. 2 Force Protection Wing, No. 34 Squadron RAF Regiment, No. 609 (West Riding) Auxiliary Squadron and the Joint Forward Air Controllers Training and Standards Unit (JFACTSU).[28]","RAF Leeming, North Yorkshire, England",-1.5316317,54.292835,"raf leeming, northallerton dl7 9nj, uk"
"Leuchars Station","Scotland","Fife","Relief Landing Ground (RLG) for RAF Lossiemouth, maintained by a small number of RAF personnel operating the airfield and air traffic control radar. The former RAF station is now a British Army barracks but continues to accommodate the East of Scotland Universities Air Squadron and No. 12 Air Experience Flight (both flying the Grob Tutor T1) and No. 612 (County of Aberdeen) Squadron (Royal Auxiliary Air Force) in the medical support role.[2][29]","Leuchars Station, Fife, Scotland",-2.8814797,56.3783333,"main st, leuchars, st andrews ky16 0hn, uk"
