"service","establishment","lon","lat"
"Navy","HMS Drake (HMNB Devonport, Devonport, Devon)",-4.1895273,50.3869343
"Navy","HMS Nelson (HMNB Portsmouth, Portsmouth)",-1.0969223,50.8001137
"Navy","HMS Neptune (HMNB Clyde, Faslane, Dunbartonshire)",-4.8145682,56.0673769
"Navy","HMS Seahawk (RNAS Culdrose, Cornwall)",-5.0527125,50.2660471
"Navy","RNAS Predannack",-5.2308329,50.001167
"Navy","HMS Heron (RNAS Yeovilton, Somerset)",-2.6473909,51.0125192
"Navy","RNAS Merryfield",-2.933007,50.9614432
"Navy","HMS Gannet, South Ayrshire",-4.5829082,55.5149131
"Navy","HMS Collingwood (Fareham, Hampshire)",-1.1881194,50.8342705
"Navy","HMS Dartmouth (Britannia Royal Naval College, Dartmouth, Devon)",-3.583057,50.3575019
"Navy","HMS Excellent (Whale Island, Portsmouth)",-1.0964328,50.8175726
"Navy","HMS Raleigh (Torpoint, Cornwall)",-4.2226385,50.3736286
"Navy","HMS Sultan (Gosport, Hampshire)",-1.1603418,50.8024802
"Navy","HMS Caledonia, Rosyth Dockyard, Rosyth, Fife",-3.443667,56.0313709
"Navy","HMS Saker, Administrative aggregation of Royal Navy personnel based in the United States",-95.712891,37.09024
"Navy","Institute of Naval Medicine (Alverstoke, Hampshire) INM",-1.1408681,50.7806358
"Navy","Northwood Headquarters (Northwood, Middlesex, England), formerly HMS Warrior. Operational HQ for Commander Operations",-0.4094734,51.6195791
"Navy","DM Beith",-4.6272687,55.7366867
"Navy","RNAD Coulport",-4.8705679,56.0436895
"Navy","Vulcan Naval Reactor Test Establishment (HMS Vulcan) (Dounreay, Thurso, Caithness)",-3.7577906,58.5761159
"Navy","HMS Jufair (Mina Salman Port, Bahrain)",50.6165745,26.2050011
"Navy","East Cove Military Port (Mare Harbour, Falkland Islands)",-59.523613,-51.796253
"Navy","Port of Gibraltar (Gibraltar)",-5.35,36.1333333
"Navy","UK Joint Logistics Support Base (Duqm, Oman)",57.6779106,19.6394818
"Navy","British Defence Singapore Support Unit (Sembawang, Singapore)",103.8184954,1.4491107
"Navy","Diego Garcia (British Indian Ocean Territory)[",72.4228556,-7.3195005
"Navy","Commando Training Centre Royal Marines, Lympstone, Devon",-3.429485,50.6481939
"Navy","Stonehouse Barracks, Plymouth, Devon – Headquarters 3 Commando Brigade",-4.161566,50.3663359
"Navy","RM Poole, Hamworthy Barracks, Poole, Dorset",-2.0254651,50.7200927
"Navy","RM Condor, Arbroath, Angus – 45 Commando, 30 Commando",-2.62739,56.5794009
"Navy","RM Tamar, HMNB Devonport – 47 Commando",-4.1895273,50.3869343
"Navy","Norton Manor Camp, Taunton, Somerset – 40 Commando",-3.1539871,51.0390528
"Navy","Bickleigh Barracks, Plymouth, Devon – 42 Commando",-4.1426565,50.3754565
"Navy","RM Chivenor, Braunton, Devon – Commando Logistic Regiment",-4.1541974,51.0883647
"Navy","RM Instow (also known as Arromanches Camp), Instow, Devon.",-4.1758375,51.0589499
"Navy","HMS Calliope, Gateshead, Tyne & Wear, England",-1.6007154,54.9686711
"Navy","HMS Cambria, Cardiff, Wales",-3.1540331,51.4641454
"Navy","Tawe Division (Swansea)",-3.92114112934631,51.6446126018298
"Navy","HMS Ceres, Leeds, West Yorkshire, England",-1.5426844,53.8051391
"Navy","HMS Dalriada, Glasgow, Scotland",-4.3188839,55.8546313
"Navy","HMS Eaglet, Liverpool, England",-2.9810144,53.3874855
"Navy","HMS Forward, Birmingham, England",-1.8662008,52.4772777
"Navy","HMS Flying Fox, Bristol, England",-2.6182134,51.4344879
"Navy","HMS Ferret, Chicksands, Bedfordshire, England",-0.3603562,52.0375908
"Navy","HMS Hibernia, Lisburn, Northern Ireland",-6.0580106,54.516246
"Navy","HMS King Alfred, Whale Island, Portsmouth, Hampshire, England",-1.1099217,50.7995066
"Navy","HMS President, by Tower Bridge, London E1, England",-0.0753565,51.5054564
"Navy","Medway Division (Chatham, Kent)",0.522452,51.3842517
"Navy","HMS Scotia, Rosyth, Fife, Scotland (Within the grounds of HMS Caledonia)",-3.443667,56.0313709
"Navy","HMS Sherwood, Nottingham, England",-1.2563758,52.9098211
"Navy","HMS Vivid, HMNB Devonport, Plymouth, Devon, England",-4.1795549,50.3712999
"Navy","HMS Wildfire, Northwood, Middlesex, England",-0.428278,51.610289
"Army","Alanbrooke Barracks",-1.401414,54.2033231
"Army","Albemarle Barracks",-1.8715028,55.0156177
"Army","Aliwal Barracks",-1.6827049,51.2286534
"Army","Allenby Barracks",-2.2409021,50.7017186
"Army","Alma Lines",-2.277655,54.068246
"Army","Assaye Barracks",-1.6835867,51.2316411
"Army","Azimghur Barracks",-1.9922127,51.2462714
"Army","Baker Barracks",-0.9281517,50.8209162
"Army","Beachley Barracks",-2.2380335,51.8642112
"Army","Battlesbury Barracks",-1.9922127,51.2462714
"Army","Beacon Barracks",-2.12066,52.806693
"Army","Berechurch Hall Camp",0.8907346,51.8610234
"Army","Bhurtpore Barracks",-1.6692305,51.2323838
"Army","Bourlon Barracks",-1.7471377,54.3825681
"Army","Blandford Camp",-2.1155691,50.874252
"Army","Brompton Barracks",0.5310429,51.3927591
"Army","Browning Barracks",-0.7627082,51.2612966
"Army","Buckley Barracks",-2.1279247,51.5268702
"Army","Cambrai Lines",-2.277655,54.068246
"Army","Cameron Barracks",-4.202527,57.4819314
"Army","Campion Lines",-1.9922127,51.2462714
"Army","Candahar Barracks",-1.6745472,51.2299169
"Army","Carver Barracks",0.4856781,51.5742447
"Army","Cawdor Barracks",-5.1327337,51.8775552
"Army","Chetwynd Barracks",-1.2529903,52.9103776
"Army","Claro Barracks",-1.5501624,54.143239
"Army","Clive Barracks",-2.5385985,52.8793098
"Army","Combermere Barracks",-0.6170953,51.4720399
